id,latitude,longitude,titre,rayon,type,actif
27,   49.93309829499682,    1.088496012003724,candidats,20,1,1
24,    49.9243201936075,    1.079830419863967,DVAH,30,1,0
21,   49.92723159242297,    1.085192429318773,pont colbert,30,1,1
20,   49.93240021279535,    1.086919418199625,gobes et clando,20,1,1
19,   49.93049408841734,    1.086726935736608,camping par louisette et evelyne,50,1,1
18,   49.92960150929337,     1.08606066648123,les gobes,35,1,1
14,     49.928468707916,    1.086144101753227,luc,25,1,1
13,   49.92261732203203,    1.082182925352971,dominique,40,1,0
12,   49.92553883354795,    1.088472248981695,foyer lictous,30,1,1
11,   49.92620316532809,    1.088120735583961,polletais,30,1,0
10,    49.9253355511428,       1.087243303439,sandrine,45,1,1
9,   49.92400814846353,    1.089318429419065,la route de la banane,30,1,1
7,   49.93188888626516,    1.087455008005225,bagdad,20,1,1
26,   49.92360006180963,    1.088157440691728,josé,40,1,1
6,   49.92352794418623,    1.084878157648607,surnoms,40,1,1
5,   49.92722908988839,    1.084087459328024,baraque à frites,24,1,1
3,   49.92650853258908,    1.084031708867119,dame au chat,30,1,0
1,   49.92622442198565,    1.080676162474387,intro,120,1,1
22,   49.93314731332733,     1.06798935116281,haut gauche,0,0,0
23,   49.91565605733585,    1.102632411294457,bas droite,0,0,0
17,   49.92912502030644,    1.086638738027943,perroquet,24,1,1
29,   49.92832436945557,    1.085927928308838,luc - boucle vidéo,50,2,1
31,    49.9325890626436,    1.087536559946728,boucle candidat,60,2,1
32,   49.92398045832609,    1.084327731372336,boucle surnoms 1,60,3,1
33,   49.92315830284083,     1.08545430929496,boucle surnoms 2,60,3,1
34,   49.92431740917082,    1.079870877042082,DVAH - signal,30,3,0
35,    49.9262129910977,    1.080707877643984,intro - signal,120,3,1
36,   49.92721691856275,    1.084118296211402,baraque à frites - signal,24,3,1
37,   49.92723280588203,    1.085203695293399,pont Colbert - signal,30,3,1
38,   49.92846394180422,    1.086132766002368,luc - signal,25,3,1
39,   49.92911265210526,    1.086611046442556,perroquet - signal,24,3,1
40,   49.92959196853135,    1.086048988884214,les gobes - signal,35,3,1
41,   49.93048958987746,    1.086715584717179,camping par louisette - signal,50,3,1
42,   49.93309402870344,     1.08850903997557,candidats - signal,20,3,1
43,   49.93239748597823,    1.086927860072388,gobes et clando - signal,20,3,1
44,   49.93189394656449,    1.087454922613693,bagdad - signal,20,3,1
45,   49.92261857141163,    1.082177606198716,dominique - signal,40,3,1
46,   49.92620016336128,     1.08813006303864,polletais - signal,30,3,0
47,   49.92553865136234,    1.088488006377685,foyer lictous - signal,30,3,1
48,   49.92533781374512,    1.087264698663522,sandrine - signal,45,3,1
49,   49.92359248188901,    1.088163317739103,josé - signal,40,3,1
50,   49.92352676807759,    1.084875691632493,surnoms - signal,40,3,1
52,   49.92881485536563,    1.086324217286696,nino - signal,15,3,1
51,   49.92880293822407,    1.086328106371814,nino,15,1,1
53,   49.92399683173446,    1.089306711665905,la route de la banane - signal,30,3,1
54,   49.92303718112169,    1.086458100578604,passerelle - signal,40,3,0
55,   49.92482504168197,    1.080991511950744,c est une ile,40,3,1
56,   49.92705029657769,    1.082956708174209,coupee en deux,40,3,1
